,region,province,district,sub_district,province_eng,location,location_id
348,Central,นครปฐม,สามพราน,บางช้าง,Nakhon Pathom,Central/นครปฐม/สามพราน/บางช้าง/Nakhon Pathom,348
349,Bangkok,กรุงเทพมหานคร,ดินแดง,ดินแดง,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ดินแดง/ดินแดง/Bangkok Metropolis,349
350,Bangkok,กรุงเทพมหานคร,จตุจักร,เสนานิคม,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/จตุจักร/เสนานิคม/Bangkok Metropolis,350
351,Central,สมุทรสาคร,บ้านแพ้ว,หลักสาม,Samut Sakhon,Central/สมุทรสาคร/บ้านแพ้ว/หลักสาม/Samut Sakhon,351
352,Bangkok,กรุงเทพมหานคร,จตุจักร,จตุจักร,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/จตุจักร/จตุจักร/Bangkok Metropolis,352
353,Central,เพชรบุรี,เมืองเพชรบุรี,ท่าราบ,Phetchaburi,Central/เพชรบุรี/เมืองเพชรบุรี/ท่าราบ/Phetchaburi,353
354,Central,สมุทรสาคร,เมืองสมุทรสาคร,ชัยมงคล,Samut Sakhon,Central/สมุทรสาคร/เมืองสมุทรสาคร/ชัยมงคล/Samut Sakhon,354
355,Central,สมุทรสาคร,เมืองสมุทรสาคร,โกรกกราก,Samut Sakhon,Central/สมุทรสาคร/เมืองสมุทรสาคร/โกรกกราก/Samut Sakhon,355
356,Bangkok,กรุงเทพมหานคร,บางรัก,สุริยวงศ์,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางรัก/สุริยวงศ์/Bangkok Metropolis,356
357,Central,นครปฐม,Not Sated,Not Sated,Nakhon Pathom,Central/นครปฐม/Not Sated/Not Sated/Nakhon Pathom,357
358,Central,ราชบุรี,โพธาราม,โพธาราม,Ratchaburi,Central/ราชบุรี/โพธาราม/โพธาราม/Ratchaburi,358
359,Central,สมุทรสาคร,บ้านแพ้ว,บ้านแพ้ว,Samut Sakhon,Central/สมุทรสาคร/บ้านแพ้ว/บ้านแพ้ว/Samut Sakhon,359
360,Central,สมุทรสาคร,กระทุ่มแบน,อ้อมน้อย,Samut Sakhon,Central/สมุทรสาคร/กระทุ่มแบน/อ้อมน้อย/Samut Sakhon,360
361,Central,ราชบุรี,โพธาราม,บ้านฆ้อง,Ratchaburi,Central/ราชบุรี/โพธาราม/บ้านฆ้อง/Ratchaburi,361
362,Central,ราชบุรี,โพธาราม,คลองตาคต,Ratchaburi,Central/ราชบุรี/โพธาราม/คลองตาคต/Ratchaburi,362
363,Central,นนทบุรี,บางใหญ่,บางม่วง,Nonthaburi,Central/นนทบุรี/บางใหญ่/บางม่วง/Nonthaburi,363
364,Central,นครปฐม,เมืองนครปฐม,สวนป่าน,Nakhon Pathom,Central/นครปฐม/เมืองนครปฐม/สวนป่าน/Nakhon Pathom,364
365,Bangkok,กรุงเทพมหานคร,สะพานสูง,สะพานสูง,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/สะพานสูง/สะพานสูง/Bangkok Metropolis,365
366,Bangkok,กรุงเทพมหานคร,บางขุนเทียน,Not Sated,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางขุนเทียน/Not Sated/Bangkok Metropolis,366
367,Bangkok,กรุงเทพมหานคร,บางรัก,สีลม,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางรัก/สีลม/Bangkok Metropolis,367
368,Central,นครปฐม,พุทธมณฑล,ศาลายา,Nakhon Pathom,Central/นครปฐม/พุทธมณฑล/ศาลายา/Nakhon Pathom,368
369,Central,สมุทรสาคร,กระทุ่มแบน,Not Sated,Samut Sakhon,Central/สมุทรสาคร/กระทุ่มแบน/Not Sated/Samut Sakhon,369
370,Central,ราชบุรี,โพธาราม,บ้านเลือก,Ratchaburi,Central/ราชบุรี/โพธาราม/บ้านเลือก/Ratchaburi,370
371,Bangkok,กรุงเทพมหานคร,ธนบุรี,ตลาดพลู,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/ธนบุรี/ตลาดพลู/Bangkok Metropolis,371
