url,name,roomType,roomStyle,roomSize,monthlyRent,dailyRent,roomContract,minMonthlyRent,maxMonthlyRent,minDailyRent,maxDailyRent,apartment_url
https://www.renthub.in.th/เปิดใหม่-สิริแมนชั่น-ใกล้มช-ใกล้ราชภัฏเชียงใหม่-เมญ่า-นิมมาน,เปิดใหม่ สิริแมนชั่น ใกล้มช.-ใกล้ราชภัฏเชียงใหม่-เมญ่า-นิมมาน,แอร์พิเศษ (แมว-หมา),สตูดิโอ,32.0,"4,500 - 5,500 บาท",750 - 850 บาท,,4500.0,5500.0,750.0,850.0,
https://www.renthub.in.th/เปิดใหม่-สิริแมนชั่น-ใกล้มช-ใกล้ราชภัฏเชียงใหม่-เมญ่า-นิมมาน,เปิดใหม่ สิริแมนชั่น ใกล้มช.-ใกล้ราชภัฏเชียงใหม่-เมญ่า-นิมมาน,แอร์,สตูดิโอ,28.0,"3,500 - 4,500 บาท",-,,3500.0,4500.0,,,
https://www.renthub.in.th/โพธิมงคล-เรสซิเดนท์,โพธิมงคล เรสซิเดนท์,ห้องแอร์,สตูดิโอ,25.0,"3,500 บาท",-,,3500.0,3500.0,,,
https://www.renthub.in.th/โพธิมงคล-เรสซิเดนท์,โพธิมงคล เรสซิเดนท์,CAT FRIENDLY,สตูดิโอ,25.0,"5,000 บาท",-,,5000.0,5000.0,,,
https://www.renthub.in.th/โพธิมงคล-เรสซิเดนท์,โพธิมงคล เรสซิเดนท์,ห้องพัดลม,สตูดิโอ,25.0,"3,000 บาท",-,,3000.0,3000.0,,,
https://www.renthub.in.th/โพธิมงคล-เรสซิเดนท์,โพธิมงคล เรสซิเดนท์,ห้องระยะสั้น,สตูดิโอ,25.0,"5,000 บาท",-,,5000.0,5000.0,,,
https://www.renthub.in.th/โพธิมงคล-เรสซิเดนท์,โพธิมงคล เรสซิเดนท์,ห้องพิเศษ,สตูดิโอ,25.0,"4,500 บาท",-,,4500.0,4500.0,,,
https://www.renthub.in.th/มีฟิตเนส-สะอาด-ห้องกว้าง-พื้นที่ส่วนกลาง-ยาม-กล้อง-บัตรประตู-ลิฟท์,มีฟิตเนส-สะอาด-ห้องกว้าง-พื้นที่ส่วนกลาง-ยาม-กล้อง-บัตรประตู-ลิฟท์,ECO,สตูดิโอ,25.0,"4,000 - 5,000 บาท",700 - 890 บาท,,4000.0,5000.0,700.0,890.0,
https://www.renthub.in.th/มีฟิตเนส-สะอาด-ห้องกว้าง-พื้นที่ส่วนกลาง-ยาม-กล้อง-บัตรประตู-ลิฟท์,มีฟิตเนส-สะอาด-ห้องกว้าง-พื้นที่ส่วนกลาง-ยาม-กล้อง-บัตรประตู-ลิฟท์,BUSINESS,1 ห้องนอน,30.0,"5,500 - 7,500 บาท",800 - 990 บาท,,5500.0,7500.0,800.0,990.0,
https://www.renthub.in.th/v-residence-chiangmai-วี-เรสซิเดนซ์-เชียงใหม่,V Residence ChiangMai ( วี เรสซิเดนซ์ เชียงใหม่ ),ห้องพักรายเดือน,สตูดิโอ,40.0,"6,000 บาท",-,,6000.0,6000.0,,,
https://www.renthub.in.th/v-residence-chiangmai-วี-เรสซิเดนซ์-เชียงใหม่,V Residence ChiangMai ( วี เรสซิเดนซ์ เชียงใหม่ ),ห้องพักรายวัน,สตูดิโอ,40.0,-,"890 - 1,690 บาท",,,,890.0,1690.0,
https://www.renthub.in.th/บ้านลีลาวดี-หลังบิ๊กซี-รพ-กรุงเทพ-มอพายัพ-เซ็นทรัลเฟส-ห้างอินเด็กซ์-แม็คโคร,บ้านลีลาวดี  - หลังบิ๊กซี-รพ.กรุงเทพ-มอพายัพ-เซ็นทรัลเฟส-ห้างอินเด็กซ์-แม็คโคร,Superior,สตูดิโอ,18.0,"2,500 - 2,900 บาท",680 - 780 บาท,,2500.0,2900.0,680.0,780.0,
https://www.renthub.in.th/บ้านลีลาวดี-หลังบิ๊กซี-รพ-กรุงเทพ-มอพายัพ-เซ็นทรัลเฟส-ห้างอินเด็กซ์-แม็คโคร,บ้านลีลาวดี  - หลังบิ๊กซี-รพ.กรุงเทพ-มอพายัพ-เซ็นทรัลเฟส-ห้างอินเด็กซ์-แม็คโคร,Premium,1 ห้องนอน,36.0,"2,500 - 4,500 บาท",780 - 880 บาท,,2500.0,4500.0,780.0,880.0,
https://www.renthub.in.th/ibts-ใกล้ม-ราชภัฏ-ห้างเมญา-มช-ห้องใหม่-สะอาด,IBTS ใกล้ม.ราชภัฏ-ห้างเมญา-มช. ห้องใหม่-สะอาด,Premier,1 ห้องนอน,35.0,"5,500 - 8,500 บาท",890 - 990 บาท,,5500.0,8500.0,890.0,990.0,
https://www.renthub.in.th/ibts-ใกล้ม-ราชภัฏ-ห้างเมญา-มช-ห้องใหม่-สะอาด,IBTS ใกล้ม.ราชภัฏ-ห้างเมญา-มช. ห้องใหม่-สะอาด,Deluxe,สตูดิโอ,28.0,"4,000 - 4,500 บาท",790 - 890 บาท,,4000.0,4500.0,790.0,890.0,
https://www.renthub.in.th/zotel-ใกล้มช-ม-ราชภัฏ-ห้างเมญา-ห้องใหม่-สะอาด,ZOTEL ใกล้มช.-ม.ราชภัฏ-ห้างเมญา ห้องใหม่-สะอาด,STUDIO,สตูดิโอ,28.0,"4,000 - 6,000 บาท",790 - 890 บาท,,4000.0,6000.0,790.0,890.0,
https://www.renthub.in.th/zotel-ใกล้มช-ม-ราชภัฏ-ห้างเมญา-ห้องใหม่-สะอาด,ZOTEL ใกล้มช.-ม.ราชภัฏ-ห้างเมญา ห้องใหม่-สะอาด,FAMILY,2 ห้องนอน,60.0,-,"1,450 - 1,850 บาท",,,,1450.0,1850.0,
https://www.renthub.in.th/zotel-ใกล้มช-ม-ราชภัฏ-ห้างเมญา-ห้องใหม่-สะอาด,ZOTEL ใกล้มช.-ม.ราชภัฏ-ห้างเมญา ห้องใหม่-สะอาด,1B-1B (Premier),1 ห้องนอน,32.0,-,850 - 950 บาท,,,,850.0,950.0,
https://www.renthub.in.th/ใกล้เต็มแล้ว-ราคาต่ำสุด-ทรัมส์-สแควร์-เรสซิเด้นท์,ใกล้เต็มแล้ว!! ราคาต่ำสุด-ทรัมส์ สแควร์ เรสซิเด้นท์,DELUXE,สตูดิโอ,28.0,"3,500 - 4,500 บาท",590 - 790 บาท,,3500.0,4500.0,590.0,790.0,
https://www.renthub.in.th/ใกล้เต็มแล้ว-ราคาต่ำสุด-ทรัมส์-สแควร์-เรสซิเด้นท์,ใกล้เต็มแล้ว!! ราคาต่ำสุด-ทรัมส์ สแควร์ เรสซิเด้นท์,DELUXE PREMIER ,1 ห้องนอน,33.0,"4,800 - 5,800 บาท",690 - 790 บาท,,4800.0,5800.0,690.0,790.0,
https://www.renthub.in.th/เฮอร์มีส-เพลส-เช่ารายเดือน-ปรับปรุงใหม่-สะอาด-สวย-ราคาถูก-ใกล้เซ็นเฟส,เฮอร์มีส เพลส-เช่ารายเดือน-ปรับปรุงใหม่-สะอาด-สวย-ราคาถูก-ใกล้เซ็นเฟส,แอร์,สตูดิโอ,21.0,"2,500 - 3,500 บาท",740 - 790 บาท,,2500.0,3500.0,740.0,790.0,
https://www.renthub.in.th/ใกล้เต็มแล้ว-ราคาต่ำสุด-รพกรุงเทพ-มอพายัพ-โลตัส-เซ็นเฟส-ศาลเด็ก-อาเขต-ไทยประกัน-แม็คโคร-อินน์,ใกล้เต็มแล้ว!! ราคาต่ำสุด-รพกรุงเทพ-มอพายัพ-โลตัส-เซ็นเฟส-ศาลเด็ก-อาเขต-ไทยประกัน-แม็คโคร- อินน์,แอร์,สตูดิโอ,20.0,"2,200 - 3,500 บาท",750 - 850 บาท,,2200.0,3500.0,750.0,850.0,
https://www.renthub.in.th/grand-chiangmai,Grand Chiangmai,STUDIO,สตูดิโอ,28.0,"3,500 - 4,500 บาท",750 - 850 บาท,,3500.0,4500.0,750.0,850.0,
https://www.renthub.in.th/grand-chiangmai,Grand Chiangmai,1B/1B,1 ห้องนอน,32.0,"4,500 - 6,500 บาท",850 - 950 บาท,,4500.0,6500.0,850.0,950.0,
https://www.renthub.in.th/หอพักโชคเศรษฐี-2,หอพักโชคเศรษฐี 2,ห้องพักเช่ารายเดือน,1 ห้องนอน,23.0,"2,500 - 3,500 บาท",-,,2500.0,3500.0,,,
https://www.renthub.in.th/baan-nattaya-บ้านนาฏยา-ใกล้สี่แยกแอร์พอร์ต-ใกล้ถนนคนเดินวัวลาย,Baan Nattaya บ้านนาฏยา ใกล้สี่แยกแอร์พอร์ต ใกล้ถนนคนเดินวัวลาย,ห้องสตูดิโอ,1 ห้องนอน,27.0,"4,500 - 6,500 บาท",-,,4500.0,6500.0,,,
https://www.renthub.in.th/แอนนา-เพลส-อพาร์ทเมนต์,แอนนา เพลส อพาร์ทเมนต์,เตียง3.5ฟุต,1 ห้องนอน,32.0,"3,500 - 4,500 บาท",-,ดูราคาระยะสั้น,3500.0,4500.0,,,
